date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:12	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:15%20GMT	https://coreui.io/demo/dark/buttons/button-group.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/buttons/button-group.html	(from https://coreui.io/demo/dark/)
09:54:12	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:15%20GMT	https://coreui.io/demo/dark/buttons/dropdowns.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/buttons/dropdowns.html	(from https://coreui.io/demo/dark/)
09:54:13	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:15%20GMT	https://coreui.io/demo/dark/buttons/loading-buttons.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/buttons/loading-buttons.html	(from https://coreui.io/demo/dark/)
09:54:13	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:15%20GMT	https://coreui.io/demo/dark/charts.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/charts.html	(from https://coreui.io/demo/dark/)
09:54:13	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:16%20GMT	https://coreui.io/demo/dark/editors/code-editor.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/editors/code-editor.html	(from https://coreui.io/demo/dark/)
09:54:13	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:16%20GMT	https://coreui.io/demo/dark/editors/markdown-editor.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/editors/markdown-editor.html	(from https://coreui.io/demo/dark/)
09:54:14	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:16%20GMT	https://coreui.io/demo/dark/editors/text-editor.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/editors/text-editor.html	(from https://coreui.io/demo/dark/)
09:54:14	21005/21005	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:16%20GMT	https://coreui.io/demo/dark/forms/basic-forms.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/forms/basic-forms.html	(from https://coreui.io/demo/dark/)
09:54:14	21005/21005	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:17%20GMT	https://coreui.io/demo/dark/forms/advanced-forms.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/forms/advanced-forms.html	(from https://coreui.io/demo/dark/)
09:54:14	21005/21005	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:17%20GMT	https://coreui.io/demo/dark/forms/validation.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/forms/validation.html	(from https://coreui.io/demo/dark/)
